"","arrests_B","arrests_W","arrests_total","ct_pop","ct_white","ct_black","arrests_total_sir","arrests_W_sir","arrests_B_sir","sptRE","sptRE_W","sptRE_B"
"1",965,693,1658,3153,822,2116,15.3763580834575,38.3760678970223,4.02663555991805,0.356227278709412,0.626461207866669,-0.273985713720322
"2",854,754,1614,2749,623,1970,17.1657400622227,54.9939393750557,3.82744438614565,1.1350781917572,1.32353162765503,1.22769844532013
"3",839,772,1617,2877,561,2263,16.4332873691039,62.4792834369542,3.27355659099906,-0.337714970111847,-0.515033423900604,0.176087617874146
"4",752,701,1454,2462,636,1795,17.2645895772702,50.0907096674723,3.6987217094113,0.370875775814056,0.336841464042664,1.03239297866821
"5",629,539,1169,2212,566,1627,15.447244174921,43.2399303500495,3.41302370843193,2.42015981674194,2.21482586860657,2.47882771492004
"6",571,574,1153,2161,845,1278,15.5949009220822,30.9257119296499,3.94382030776937,-1.29859554767609,-1.24105441570282,-1.27550637722015
"7",696,615,1315,2245,882,1259,17.1214075915824,31.7518637526169,4.87967443270773,1.6412341594696,1.32040202617645,2.49380087852478
"8",657,554,1215,2251,906,1225,15.7772878399613,27.8486187315424,4.73399906346418,0.8208087682724,1.12358903884888,1.0195699930191
"9",437,477,920,2267,943,1182,11.8623805807212,23.0416961423538,3.26325839021351,2.08763074874878,1.86734092235565,1.72854363918304
"10",177,147,325,3290,1386,1897,2.88866489672784,4.83874700601777,0.823788433402733,2.21519470214844,2.15345788002014,2.29971647262573
"11",272,118,390,3440,1609,1815,3.31537529885077,3.34736405976006,1.32310069380861,-0.33105480670929,-0.795158565044403,-0.117816582322121
"12",221,88,309,3530,1598,1908,2.5598806641625,2.51347403049176,1.02264482032753,-1.22632086277008,-1.40791070461273,-1.3321076631546
"13",181,135,316,3587,1590,1968,2.57630555048042,3.87524271255326,0.812027107710626,0.496028482913971,-0.0822933092713356,0.692018926143646
"14",212,125,337,3699,1678,1844,2.66439097397265,3.40052290740378,1.01503002509286,2.25404071807861,2.24249935150146,2.49314165115356
"15",163,88,252,3703,1678,1866,1.99021311510917,2.39396812681226,0.771227241459847,0.458592683076859,0.817805707454681,-0.119947284460068
"16",212,148,361,3644,1991,1438,2.89718371488915,3.3947193672033,1.30143420257752,0.404539078474045,0.169871240854263,1.02159655094147
"17",167,131,298,3603,1995,1331,2.41877369882781,2.99877454471497,1.10754715221536,-0.0620766095817089,-0.371814906597137,0.58086770772934
"18",203,120,324,3503,1958,1329,2.7048179862342,2.7987569980747,1.34832452040356,0.418571263551712,0.157825589179993,0.71166604757309
"19",253,103,358,5104,2345,2622,2.05172558517744,2.00658797504419,0.852027243520456,0.388864755630493,0.159375712275505,0.895082533359528
"20",375,156,535,5040,2199,2699,3.10503856273373,3.24046269856904,1.2268690295197,-1.84654009342194,-1.63506424427032,-1.96703004837036
"21",391,196,587,4821,2246,2427,3.56150265627942,3.98632639616129,1.42252817768614,-2.6274836063385,-2.69156885147095,-1.66118693351746
"22",470,140,612,5419,2204,3050,3.30364712679388,2.90152388292097,1.3607683225556,1.07082176208496,1.07769978046417,0.869259297847748
"23",346,115,461,4882,2175,2620,2.76209585119274,2.41510647503025,1.16611221213651,0.378967672586441,0.497483193874359,-1.61239838600159
"24",325,150,477,5161,2398,2669,2.70354860694292,2.85775246435123,1.07523405365791,-2.12156939506531,-1.94105243682861,-2.35644268989563
"25",397,131,536,5703,2812,2786,2.74937813449475,2.12892489041474,1.25829842212348,-1.50778341293335,-1.47479283809662,-0.963867485523224
"26",321,129,454,5635,2589,2962,2.35685194026533,2.27667601596085,0.956979015474621,2.8842887878418,2.58862471580505,3.22728490829468
"27",378,128,513,5902,2715,3137,2.54272110357575,2.15436497965335,1.06406201627029,-0.086814858019352,-0.221115738153458,0.218137368559837
"28",93,140,233,2786,2372,225,2.44520167444391,2.69641546527079,3.63672732575503,3.02719640731812,3.1614305973053,2.0238299369812
"29",76,104,184,2726,2342,235,1.97343040715558,2.02865965587688,2.84595686293765,1.94359576702118,1.92698681354523,1.76016044616699
"30",58,78,137,2819,2565,190,1.42092351741351,1.38945227501022,2.68393486212311,-1.92003095149994,-1.75065016746521,-2.10412621498108
"31",49,96,148,3033,2802,176,1.42681050696176,1.56568699235342,2.44692782264132,1.36802768707275,1.39740216732025,1.26403117179871
"32",43,77,123,3061,2789,208,1.17495871106921,1.26165539987278,1.81834651906921,1.32647955417633,1.20351016521454,2.26201272010803
"33",56,141,197,2934,2647,222,1.96322006071491,2.4340278261732,2.2193327023224,-0.603153228759766,-0.227027982473373,-1.82965064048767
"34",45,98,144,2857,2593,198,1.47368089675653,1.72690447077975,1.99860104172429,0.469326734542847,0.366249531507492,0.758822560310364
"35",42,32,74,3073,2672,214,0.704127981355306,0.547243871313758,1.72646802660992,0.108114577829838,0.227363660931587,-0.614644229412079
"36",46,57,103,3031,2584,256,0.993637573938312,1.00791622373234,1.58173555436802,1.14092981815338,1.10187375545502,1.11847698688507
"37",232,244,476,3431,2103,1079,4.05706344396197,5.29928201253026,1.89768046265926,-0.961428642272949,-0.745058476924896,-1.15152895450592
"38",192,310,502,3970,2159,1518,3.69818841494094,6.5584316325675,1.11657718326228,-1.98325252532959,-1.80963063240051,-1.12407290935516
"39",178,351,535,4146,2350,1403,3.77410422624402,6.82346364494546,1.11995589910892,-2.04657101631165,-1.88197731971741,-1.08882284164429
"40",162,378,546,4065,2409,1477,3.92839720456334,7.16871484668647,0.968248427239582,0.271756738424301,-0.672416567802429,1.34453094005585
"41",146,313,460,4380,2720,1426,3.07177565699586,5.25842788422264,0.903808305546245,-1.21851575374603,-1.06695187091827,-0.474442809820175
"42",108,226,334,4622,2999,1398,2.11367146166083,3.44413641471325,0.68195261199046,-1.26219666004181,-1.08726751804352,-0.429572433233261
"43",124,253,385,4440,3013,1187,2.53622308785848,3.83771602835936,0.922061386220845,-0.660427331924438,-0.474325746297836,-0.789902627468109
"44",124,181,307,4274,2844,1226,2.10088576446497,2.90844787284545,0.892751024068149,-0.283492296934128,-0.109092473983765,-0.024206567555666
"45",102,254,362,4396,3200,1169,2.40856136428503,3.62805350820979,0.770139780804007,1.06755435466766,1.47307157516479,0.375270366668701
"46",191,236,428,7375,5021,1912,1.69787341363414,2.14949661359121,0.881976105571956,0.60581248998642,0.400861769914627,1.01190996170044
"47",181,308,493,7441,5563,1375,1.93838797270738,2.5321835365686,1.16200742380234,0.559113323688507,0.380905508995056,1.03856253623962
"48",202,309,515,7991,5973,1178,1.88557122942421,2.36615940066325,1.5135350430248,0.0304074939340353,-0.0541940033435822,0.758799135684967
"49",159,224,387,8272,6302,1181,1.36880847481936,1.62579212275409,1.18832286868455,1.79716396331787,1.89693593978882,1.48891282081604
"50",125,225,355,8408,6408,1207,1.23532258293683,1.60605578006233,0.914106849198058,-1.08621120452881,-0.992053866386414,-1.09372889995575
"51",155,234,393,8205,5857,1554,1.40137690779248,1.82730936757392,0.88053338464692,2.10802555084229,1.8541693687439,2.73520803451538
"52",140,257,400,8472,6161,1422,1.38140147906688,1.90796364920411,0.869101862698975,0.101360403001308,0.219495624303818,0.483954012393951
"53",190,250,443,8753,6188,1832,1.48080368056709,1.84790351739216,0.91565256110891,1.8281090259552,1.85318112373352,1.26081240177155
"54",183,253,441,8648,6455,1806,1.49201034157257,1.79278058952559,0.894608280107784,2.64979457855225,2.74580264091492,2.04695200920105
"55",175,202,377,4061,3733,94,2.71513453331591,2.47384169649734,16.2914658706571,-0.302618652582169,-0.927237749099731,0.0284277461469173
"56",140,215,355,3983,3576,117,2.60672318248799,2.74850242880158,10.4902938248906,-1.36497831344604,-1.47743964195251,-1.62598240375519
"57",132,148,283,3829,3424,127,2.16154913033443,1.97587055399115,9.11742082423974,1.44205331802368,0.994739949703217,1.84945094585419
"58",85,191,277,3997,3548,158,2.0268593160194,2.46093730632689,4.72555239893542,2.4168426990509,2.48405694961548,2.61106634140015
"59",112,180,294,3979,3776,92,2.16097597380143,2.17934056196733,10.6510464878391,0.86521327495575,1.20059955120087,0.399135053157806
"60",98,172,270,3951,3746,176,1.99862363682719,2.09913826489077,4.89385564528264,0.276526123285294,0.381670087575912,0.230005249381065
"61",109,166,275,4196,3890,189,1.91685945033939,1.95100543474766,5.07050995281213,-0.529464423656464,-0.579025864601135,-0.375072509050369
"62",116,188,307,4134,3785,237,2.17198298708597,2.27079431499282,4.30730822598055,0.769643306732178,0.751908898353577,0.659803092479706
"63",110,146,256,4147,3580,229,1.80549133757101,1.86434217711731,4.22665867467139,0.39386174082756,0.421276867389679,0.323130816221237
"64",57,108,165,4314,2354,1312,1.11867810946407,2.09596660807444,0.383495841206193,-1.57418191432953,-1.32148683071136,-2.15856385231018
"65",56,59,115,4333,2374,1530,0.776268170048352,1.13539103330998,0.323115557376465,-1.80817103385925,-1.38502192497253,-2.29214143753052
"66",69,76,147,4100,2401,1373,1.04862316157504,1.44612220164062,0.443620057040424,1.48633682727814,1.45810568332672,1.15380835533142
"67",68,69,137,4314,2388,1631,0.928841824221686,1.32006048534444,0.368071119574401,0.202800706028938,0.234385937452316,0.573422908782959
"68",66,79,145,4263,2206,1806,0.994833688084005,1.63580715472534,0.322645609219201,-1.95401859283447,-1.89138638973236,-1.84027206897736
"69",84,89,173,4435,2314,1761,1.14093748453703,1.75702987246501,0.421127958142755,0.116757072508335,0.063947819173336,-0.96884024143219
"70",84,88,174,4409,2350,1667,1.15429504193122,1.71072592807749,0.444862249316996,2.61703205108643,2.45973324775696,2.3828113079071
"71",95,131,226,4511,2485,1674,1.46537847318123,2.40855406087915,0.501015290799329,-0.525151014328003,-0.622019469738007,-0.349169045686722
"72",102,148,251,4593,2377,1910,1.59844058816915,2.84451187742356,0.471495915252978,2.58799457550049,2.43141222000122,2.57383584976196
"73",76,103,181,2885,1388,665,1.83437563422917,3.38554530300792,1.00815519823695,1.11167454719543,1.22377169132233,0.469554573297501
"74",58,126,185,2760,1355,649,1.95973896861497,4.24206536973912,0.788323623224099,-0.695064902305603,-0.580341398715973,-1.49374961853027
"75",81,133,216,2259,1387,540,2.79493095256422,4.37476794939813,1.32279751311331,0.818032503128052,1.09827435016632,0.524584949016571
"76",60,114,174,2420,1698,275,2.10186507181922,3.06484651196527,1.92104596283199,1.62060546875,1.6355996131897,1.88258838653564
"77",56,112,168,2153,1431,330,2.28071568219904,3.57110119314584,1.49494459811512,-0.688946723937988,-0.466505765914917,-0.810937523841858
"78",29,99,132,2497,1769,304,1.54540572812941,2.55502874469684,0.840187624276957,0.359636068344116,0.42514032125473,0.209463939070702
"79",56,126,188,2699,1781,414,2.03647999984525,3.2300006256489,1.19226829380384,0.257658690214157,0.396552473306656,-0.842494249343872
"80",52,132,185,2644,1775,425,2.04562336810725,3.39521899016041,1.07851118870476,0.816753387451172,1.00925993919373,-0.634471774101257
"81",61,165,233,2907,1817,558,2.34352578326183,4.14616953431436,0.964096766020631,-0.0529254078865051,0.221178218722343,-0.714453041553497
"82",24,69,94,2163,1990,65,1.27022295481424,1.58346670652082,3.21771649938128,-2.12605953216553,-1.98280847072601,-1.2266321182251
"83",15,104,119,2252,2001,99,1.54457994478829,2.37358425079018,1.32650922178836,0.812035620212555,1.0003137588501,-1.05102014541626
"84",13,65,79,2197,2040,71,1.05102909668969,1.45519280857693,1.59744983943683,-0.404278188943863,-0.403716444969177,-0.11541211605072
"85",6,53,59,2352,2137,118,0.733281077490256,1.13279893696947,0.445802295688874,-0.55849415063858,-0.328600734472275,-0.749812841415405
"86",15,40,55,2463,2215,156,0.652797357335892,0.824898349973566,0.844552110891871,-0.970241487026215,-0.845308423042297,-0.297400921583176
"87",11,54,66,2362,1947,298,0.816812003428245,1.26653944406219,0.325089508663847,-0.0155729446560144,0.127041578292847,-0.639339447021484
"88",24,70,95,2256,1896,300,1.2308845650361,1.68586665129823,0.704571507795422,4.20998764038086,-0.109092473983765,7.10285139083862
"89",27,107,136,2470,1969,336,1.60962061627787,2.48164899155396,0.707939592234655,0.902268767356873,1.440633893013,0.10696505010128
"90",18,58,76,2415,2037,223,0.919954444679881,1.30038779061466,0.71017065094293,0.232318431138992,-0.00617779325693846,0.551800072193146
"91",254,64,321,2473,1072,1347,3.79457473173791,2.72110606828862,1.66453660884247,0.50327205657959,0.41313037276268,0.912707030773163
"92",263,58,326,2450,1167,1177,3.88981449696293,2.26604098666146,1.97226564983289,-0.569269418716431,-0.667355537414551,0.190969243645668
"93",219,65,284,2322,1221,969,3.57523781227686,2.42763485401503,1.99451156811527,1.83800995349884,1.97416841983795,1.40001690387726
"94",264,51,316,2197,1213,860,4.20411638675876,1.91727473447896,2.70876649807961,-1.34104335308075,-1.30306088924408,-1.21028304100037
"95",200,79,279,2574,1193,1285,3.16882313396191,3.01949456107768,1.37385331683411,2.50101041793823,2.0386118888855,3.27483510971069
"96",213,69,283,2460,1182,1158,3.36303052899665,2.66172859776077,1.62349825297341,0.121958844363689,0.238757193088531,0.436350911855698
"97",194,92,286,2414,1127,1226,3.4633662014457,3.72146823262458,1.39672337636468,1.87879955768585,1.94578874111176,1.79650127887726
"98",224,119,343,2344,1064,1195,4.27750429542295,5.09743542042819,1.65451665752616,2.41305875778198,2.40484118461609,2.05977034568787
"99",255,96,351,2284,1192,977,4.49211360538517,3.6723256757536,2.30337727183454,0.22825588285923,-0.261085033416748,0.615128755569458
"100",397,75,472,2993,163,2688,4.61112271317971,20.4859806792554,1.30415881518073,-0.813435554504395,-1.20856726169586,-0.98858380317688
"101",370,85,458,3152,166,2726,4.24885656488936,22.8091118408377,1.19852500769766,1.24473857879639,0.684504687786102,1.77121067047119
"102",387,71,458,2901,286,2400,4.61610514387173,11.1842628291585,1.42380935609487,2.7052800655365,2.68013739585876,2.78066563606262
"103",398,74,475,2600,170,2359,5.34106094488556,19.4023633303059,1.48971939948331,-0.17993625998497,0.0440797619521618,-0.644772589206696
"104",420,91,511,2519,147,2289,5.93040430137561,27.480074501127,1.62012255678135,0.162272587418556,0.103805653750896,0.531885087490082
"105",305,113,419,2451,157,2218,4.99744816285318,32.0117030533375,1.21416387139289,-0.845071315765381,-1.59404015541077,0.0175752006471157
"106",360,115,477,2419,402,1933,5.7643885223948,12.9468888226828,1.64431177021595,1.93055617809296,1.87917840480804,1.8024594783783
"107",445,175,623,2512,246,1990,7.2503433981706,31.9673782410715,1.97435905205978,1.30224585533142,1.32788908481598,1.03510189056396
"108",434,111,546,2724,344,2036,5.86023513083279,14.575873160561,1.88206886376522,0.23550733923912,0.462978899478912,-1.59437799453735
"109",169,59,229,2538,1306,1212,2.63778386419951,2.0606303232576,1.23077768944637,-2.84271049499512,-2.90037870407104,-1.79089963436127
"110",219,91,310,2409,1256,1111,3.76178048660498,3.3043240101291,1.73979001527249,1.4977126121521,1.35988795757294,1.57426488399506
"111",248,86,335,2131,1155,934,4.59474239375152,3.39476301383434,2.34318298420613,-0.344592571258545,-0.20668064057827,-0.581373870372772
"112",208,61,269,2180,1212,945,3.60669141032392,2.29509592628225,1.94239567859296,-1.21889185905457,-1.01480448246002,-2.02546048164368
"113",140,72,212,2160,1153,980,2.86873160012402,2.84703764927531,1.26073155031472,-1.67367959022522,-1.67349874973297,-1.17111957073212
"114",196,84,282,1983,1233,708,4.15605943422558,3.1068312666971,2.44226761694946,1.40935480594635,1.40423965454102,1.23266565799713
"115",211,113,326,2472,1177,1248,3.85523734572258,4.37750872419977,1.49235630219868,0.472959905862808,0.356457114219666,0.242903560400009
"116",189,86,277,2527,1327,1173,3.20455472287541,2.95626107168631,1.42216113715264,2.05933666229248,2.19752645492554,1.84124159812927
"117",197,84,284,2540,1261,1254,3.2687398677749,3.03809482958323,1.38667540715825,-0.121476754546165,0.0262623485177755,-0.596107065677643
"118",131,309,449,1493,1173,213,8.78479992421747,12.0110166738208,5.41011296884378,-1.13910138607025,-1.04467570781708,-1.69187390804291
"119",166,394,562,1357,1049,236,12.0953004022929,17.1175077034159,6.18992745594615,0.245740756392479,0.652713119983673,-0.808307826519012
"120",160,439,607,1487,1144,217,11.9239359774121,17.4950427068765,6.4864631152596,0.886114001274109,0.950167119503021,0.477011322975159
"121",140,307,450,1633,1170,269,8.05090169340552,11.9637543671904,4.58209344001048,-1.46509730815887,-1.44575154781342,-0.797261297702789
"122",136,268,409,1533,1125,218,7.7937894005909,10.8599931988894,5.48830445602016,-0.570509612560272,-0.710183799266815,-0.328067719936371
"123",172,301,474,1671,1251,267,8.28777126123729,10.9732116588047,5.6714580484821,1.12661564350128,1.31169426441193,-1.00070691108704
"124",138,288,430,1758,1383,209,7.14698762011956,9.50049027676911,5.80781957785845,2.20210385322571,2.15747499465942,2.34943890571594
"125",162,336,504,1804,1304,259,8.16367777712089,11.7530507459714,5.506156596932,-0.162946417927742,0.0139931114390492,-0.297733455896378
"126",119,210,329,1816,1337,245,5.29390999853176,7.16496890265843,4.27493823640515,-0.234988614916801,-0.000688291562255472,-0.948237955570221
"127",369,324,693,1362,286,1045,14.8600321668119,51.038044459822,3.11641340717293,-1.38997709751129,-1.21244812011719,-1.57122552394867
"128",388,317,707,1407,272,1125,14.6763724417148,52.4630370786799,3.04403943861459,-0.496377915143967,-0.476021081209183,-0.13594451546669
"129",223,170,394,1502,408,1085,7.66261000190944,18.860547599955,1.81398476601682,-1.63850784301758,-1.44080424308777,-0.734632790088654
"130",206,119,327,1633,514,1111,5.85032189720801,10.503744961322,1.63651480888645,0.539736986160278,0.714395701885223,-0.253699988126755
"131",173,127,300,1687,396,1241,5.19576187139146,14.5120274613432,1.23048760417853,-0.850579857826233,-1.42621493339539,0.41900697350502
"132",135,149,287,1717,353,1297,4.88391177720349,19.0733523315114,0.918776865286702,1.91015028953552,2.60457372665405,-0.024206567555666
"133",165,74,241,1681,382,1217,4.18880082958364,8.76205704394163,1.19671351504394,1.13191080093384,1.53461337089539,0.282879710197449
"134",154,127,282,1664,372,1184,4.95140506327079,15.4369070172158,1.14804012988609,0.187890529632568,0.409310132265091,0.386526226997375
"135",250,135,388,1652,386,1157,6.86196997865937,15.8211291139332,1.90716006917964,0.158227115869522,-0.316947489976883,0.502704679965973
"136",42,49,91,8118,5660,1826,0.327968155616519,0.395949038051426,0.203072171256793,-0.625637829303741,-0.584656953811646,-0.100372396409512
"137",24,77,101,8534,6449,1731,0.346270662085982,0.546136155468213,0.122406518228688,0.97541218996048,1.27750325202942,0.379348188638687
"138",36,60,96,8894,6632,1989,0.315810886548081,0.41382603805043,0.159803696667147,-1.12690556049347,-1.18458592891693,-1.00177323818207
"139",20,55,75,8893,6673,1875,0.24675498997234,0.377011402441502,0.094175103537493,2.65191221237183,2.45946073532104,2.99182057380676
"140",28,52,81,8631,6454,1808,0.274582299497885,0.368533695199075,0.1367286134853,-0.813596308231354,-0.617866635322571,-0.546704173088074
"141",23,31,54,8547,6443,1614,0.184853315499642,0.220077607530667,0.125805208011208,1.64468240737915,1.63650286197662,1.60236132144928
"142",23,46,69,8450,6281,1748,0.238911944894047,0.33498347223564,0.116165972619698,1.04346942901611,1.17942929267883,0.164921671152115
"143",26,46,72,8313,6312,1669,0.253406481990652,0.333339466768308,0.137530541858016,0.863718211650848,-0.0452657230198383,1.35519051551819
"144",32,49,81,8000,6031,1668,0.296232057755005,0.371610505799931,0.169369785330223,-1.63775753974915,-1.89718961715698,-1.93348443508148
"145",31,38,69,6377,4964,965,0.316540493905271,0.350075941442613,0.283497323297789,0.999032020568848,0.29456827044487,1.53040409088135
"146",11,29,40,6827,5181,1054,0.171411447779282,0.255983283257609,0.0921086028167031,1.7772433757782,1.77696824073792,1.93712544441223
"147",16,9,27,6893,5237,1326,0.114595351810573,0.0785943332949092,0.106512157449625,0.207603618502617,0.208305940032005,0.110441334545612
"148",18,72,90,6662,5086,1273,0.395223724302598,0.647405194336946,0.124811553224876,-0.955725729465485,-0.849105060100555,-1.02548921108246
"149",9,8,17,7203,5511,1422,0.0690486125259855,0.0663910796568463,0.0558708340306484,0.374998599290848,0.420500695705414,0.0836429297924042
"150",6,11,17,7664,5772,1560,0.0648968303157868,0.0871631296945288,0.0339541406827979,3.09686732292175,2.93495845794678,3.16422057151794
"151",1,5,6,7499,5601,1517,0.0234085390164288,0.0408282136137975,0.00581933748907586,0.381508827209473,0.237796917557716,0.661181330680847
"152",5,11,16,7708,5723,1627,0.0607308393273187,0.087908819035897,0.0271305541210805,-0.681156277656555,-0.444753974676132,-1.2024017572403
"153",9,4,13,7781,5952,1493,0.048881045934322,0.0307378812953032,0.0532154531209092,-2.91816711425781,-2.65100646018982,-2.05584907531738
"154",86,98,184,5228,4046,893,1.02952064709844,1.10743914486899,0.849825098936879,1.15645003318787,1.02199339866638,1.30156099796295
"155",91,147,241,4916,3292,1312,1.43397824693077,2.04110238416874,0.612247746487079,-0.116285815834999,0.126215040683746,-1.69631278514862
"156",79,155,236,4981,3407,1209,1.38591382899665,2.07963539882236,0.576760534893191,-2.16506767272949,-2.5454249382019,-1.03101348876953
"157",94,164,260,5130,3493,1158,1.48253227759936,2.14628428437456,0.716473407415497,-0.592585980892181,-0.624609172344208,-0.911231577396393
"158",63,111,174,5060,3743,822,1.00587376326276,1.35576088014264,0.676260819425446,1.10359084606171,1.01241219043732,1.16920709609985
"159",90,162,255,5044,3962,797,1.47879868281225,1.86943259950865,0.996357191208462,-0.219238340854645,-0.368885397911072,0.00593182910233736
"160",88,115,207,5382,4139,881,1.12508781692281,1.27037843996987,0.88142117454071,2.36967062950134,2.63093495368958,0.611334145069122
"161",121,133,257,5115,3904,926,1.46972111568259,1.55755594523929,1.15311398406004,1.12562930583954,1.27560889720917,-0.0397408008575439
"162",65,103,169,5603,4176,1346,0.882338363794628,1.1277470145239,0.42628035190672,-0.361118882894516,-0.414138913154602,-0.151396945118904
"163",11,15,26,4020,3335,470,0.189159038432849,0.20559401967498,0.20634375022053,0.971121370792389,1.14616417884827,1.4137669801712
"164",8,24,33,4047,3341,549,0.238485866456123,0.328360487681471,0.128508359714279,1.32791662216187,0.94770359992981,2.24773478507996
"165",7,28,35,4201,3559,463,0.243673768082081,0.359652072026027,0.133291122240825,-1.65004253387451,-1.34077847003937,-1.9476592540741
"166",8,14,22,4285,3582,600,0.150165856723556,0.178672847759698,0.117601206422837,-0.380157917737961,-0.386243164539337,-0.319286495447159
"167",4,18,23,4498,3843,509,0.149562172974839,0.214139049476155,0.0692948767310353,1.19914376735687,1.2601124048233,0.831662118434906
"168",13,33,46,4786,4016,629,0.281135386233333,0.375695716024145,0.182303573836797,1.62404191493988,1.70089137554169,1.22243428230286
"169",2,13,15,4809,4084,595,0.0912363972089671,0.145539828430838,0.0296469967323767,-0.685683369636536,-1.58387076854706,0.803046643733978
"170",7,12,19,5044,4180,671,0.110184999895815,0.131262409077293,0.0920271808455852,-1.463747382164,-1.22642135620117,-1.12798619270325
"171",9,11,20,5114,4278,628,0.114397536419504,0.117570453651776,0.126410855827416,-1.71370232105255,-1.44380390644073,-1.84516656398773
"172",0,3,3,10451,8353,882,0.00839919533024269,0.0164305300022836,0,-0.618224918842316,-0.575131177902222,-0.173541486263275
"173",0,6,6,10451,8518,924,0.0167983906604854,0.0322248586888286,0,-1.31785202026367,-1.14486455917358,-0.500472187995911
"174",1,43,44,10824,9515,891,0.118944223992189,0.206757613698721,0.00990384634514646,-0.808846235275269,-0.707999587059021,-0.214195162057877
"175",0,4,4,10985,9677,986,0.0106546727473114,0.0189114397858666,0,0.315013557672501,0.458185791969299,-0.691475570201874
"176",0,3,3,10857,9319,1073,0.00808519014762233,0.0147281907126099,0,1.0781090259552,1.53160881996155,-0.024206567555666
"177",0,6,6,10860,9222,1194,0.0161659145429025,0.0297660595323832,0,1.97198474407196,2.21512866020203,1.22547364234924
"178",0,1,1,11571,9543,1385,0.00252880388520606,0.00479421533820428,0,0.595470070838928,0.519494950771332,0.810359954833984
"179",2,5,7,11629,9349,1629,0.0176133619938359,0.0244682542651051,0.0108389050857086,-0.083138570189476,-0.460816025733948,0.344649851322174
"180",0,2,2,12732,10186,1434,0.0045965228576479,0.00898342462671561,0,-0.573691368103027,-0.529016613960266,0.0741197839379311
"181",1,0,1,5308,3934,1195,0.00551093850548643,0,0.00738623507824178,0.500438392162323,0.773337125778198,-0.000771708146203309
"182",0,5,5,5272,4142,973,0.0277427461185064,0.0551938841775923,0,-1.27973175048828,-1.28318965435028,-1.4289653301239
"183",1,0,1,5457,4263,1015,0.00536054640967237,0,0.00869497034757556,2.78172159194946,2.45670676231384,3.36267757415771
"184",0,0,0,5674,4607,871,0,0,0,-0.601751506328583,-0.325141131877899,-0.591479301452637
"185",0,0,0,5766,4958,633,0,0,0,1.07640075683594,1.17567372322083,0.8800128698349
"186",0,0,0,6467,5381,813,0,0,0,2.48566770553589,2.39433598518372,2.68592023849487
"187",1,0,1,5993,4789,967,0.00488134561849084,0,0.00912617788410337,-0.311629265546799,-0.440183818340302,-0.0504032522439957
"188",0,0,0,6101,5002,765,0,0,0,-1.97043585777283,-2.039222240448,-2.25613260269165
